task_id,tag,position,layer,top1_token,top1_prob,top2_token,top2_prob,top3_token,top3_prob,top4_token,top4_prob,top5_token,top5_prob
0,SingleAgent,0,0,(valid,0.0,独一无,0.0,shemale,0.0,这个时代,0.0,_HEADERS,0.0
0,SingleAgent,0,1,相应,0.0,леж,0.0,这部分,0.0,去年同期,0.0,质量和,0.0
0,SingleAgent,0,2,ander,0.0,леж,0.0,这部分,0.0,thereafter,0.0,None,0.0
0,SingleAgent,0,3,这部分,0.0,Attach,0.0,.skip,0.0,ander,0.0,ichtet,0.0
0,SingleAgent,0,4,这部分,0.0,质量和,0.0,attachments,0.0,Attach,0.0,ichtet,0.0
0,SingleAgent,0,5,这部分,0.0,attachments,0.0,今天的,0.0,Vanguard,0.0,三四,0.0
0,SingleAgent,0,6,attachments,0.0,今天的,0.0,当时的,0.0,ум,0.0,zee,0.0
0,SingleAgent,0,7,其所,0.0,三分,0.0,attachments,0.0,人文,0.0,只要有,0.0
0,SingleAgent,0,8,@a,0.0,今天的,0.0,keyboard,0.0,/work,0.0,先把,0.0
0,SingleAgent,0,9,chron,0.0,chaft,0.0,得好,0.0,三家,0.0,的回答,0.0
0,SingleAgent,0,10,先把,0.0,@a,0.0,得好,0.0,chaft,0.0,首先,0.0
0,SingleAgent,0,11,:,0.0,得好,0.0,baum,0.0,:,0.0,承接,0.0
0,SingleAgent,0,12,igu,0.001,得好,0.0,Assistant,0.0,esis,0.0,首先,0.0
0,SingleAgent,0,13,（笑,0.001,禀,0.0,/result,0.0,comment,0.0,_x,0.0
0,SingleAgent,0,14,ownik,0.001,（笑,0.001,comment,0.001,まずは,0.0,.cn,0.0
0,SingleAgent,0,15,utow,0.002,解释,0.002,逻辑,0.001,解析,0.001,分析,0.001
0,SingleAgent,0,16,解析,0.002,utow,0.002,详解,0.001,解释,0.001,分析,0.001
0,SingleAgent,0,17,解析,0.005,首先,0.002,了解,0.002,STEP,0.001,�,0.001
0,SingleAgent,0,18,解析,0.006,逻辑,0.002,安卓,0.002,Anchor,0.002,anks,0.001
0,SingleAgent,0,19,解析,0.023,首先是,0.006,首先,0.005,逻辑,0.005,Analy,0.005
0,SingleAgent,0,20,逻辑,0.015,解析,0.012,丝丝,0.007,解释,0.006,stad,0.006
0,SingleAgent,0,21,逻辑,0.019,ikal,0.014,baugh,0.009,解释,0.007,解析,0.005
0,SingleAgent,0,22,agan,0.021,试行,0.018,baugh,0.017,sg,0.014,china,0.013
0,SingleAgent,0,23,isi,0.185,arming,0.034,arking,0.027,checker,0.014,agan,0.009
0,SingleAgent,0,24,<![,0.117,arming,0.091,afen,0.049,undle,0.049,,0.043
0,SingleAgent,0,25,点击查看,0.106,aminer,0.094,arming,0.073,china,0.044,cery,0.044
0,SingleAgent,0,26,innen,0.875,aminer,0.034,_decl,0.023,ilded,0.006,arming,0.005
0,SingleAgent,0,27,innen,0.703,okay,0.095,achel,0.045,CONTRIBUT,0.027,ilded,0.021
